Título;Enlace;Fecha;Primeros_Párrafos;Topic
Catorce detenidos vinculados al cártel de Sinaloa por secuestro y asesinato en Catalunya;https://www.lavanguardia.com/sucesos/20241117/10114304/catorce-detenidos-vinculados-cartel-sinaloa-secuestro-asesinato-catalunya.html;17/11/2024;En una operación conjunta entre la Policía Nacional y los Mossos d’Esquadra, han sido detenidas catorce personas vinculadas al cártel de Sinaloa en Catalunya. Los arrestados están presuntamente implicados en el secuestro y asesinato de un hombre, cuyo cadáver fue hallado en una zona boscosa del municipio de Botarell, en Tarragona.;Sucesos
Interpol busca identificar a cuatro cadáveres femeninos en Catalunya, uno de hace 25 años;https://www.lavanguardia.com/sucesos/20241009/10006719/interpol-busca-identificar-cuatro-cadaveres-femeninos-catalunya-25-anos.html;09/10/2024;Interpol quiere identificar los cadáveres de cuatro mujeres aparecidos en circunstancias sospechosas de muerte violenta en Catalunya. Ha introducido sus perfiles en un archivo accesible por interne al público en general. Contiene datos sobre casos de estas víctimas. El más antiguo de ellos data de 1999. Este se corresponde con el dossier  del cuerpo sin identificar más antiguo. Es el de una joven que apareció estrangulada en una habitación de hotel en la localidad de Premià de Mar en 1999 y cuyo caso, todavía hoy, sigue siendo una de las obsesiones de la policía Judicial de la Guardia Civil de Catalunya por las excepcionales particularidades del caso.;Sucesos
La Guardia Civil desmantela en Catalunya una facción de los Latin Kings;https://www.lavanguardia.com/sucesos/20240422/9600833/guardia-civil-desmantela-catalunya-fraccion-latin-kings.html;22/04/2024;"Los Latin Kings en Cataluña tenían un funcionamiento similar al de una secta y reclutaban a sus nuevos miembros entre personas con perfiles vulnerables o solitarias, que acababan creyendo que los integrantes de la banda eran como su familia. Un sistema de captación que siempre ha funcionado muy bien en este perfil de organizaciones criminales donde la pertenencia al grupo se vende como el acceso a una ""gran familia"" que cuidará de ti y de los tuyos. El pasado 17 de abril, la Guardia Civil explotó una investigación en Barcelona y Tarragona contra los Latin Kings. El resultado, 34 detenidos,  entre ellos dos menores de edad. Todos fueron puestos en libertad provisional con medidas cautelares.";Sucesos
Al menos 32 detenidos en un operativo contra los Latin Kings en Catalunya;https://www.lavanguardia.com/sucesos/20240417/9597069/32-detenidos-operativo-guardia-civil-latin-kings-cataluna.html;17/04/2024;La Guardia Civil ha detenido este miércoles a 32 personas en un operativo que está llevando a cabo en las provincias de Barcelona y Tarragona contra la banda de los Latin Kings, y que aún continúa en marcha. Según ha informado el Instituto Armado, hasta ahora se han llevado a cabo un total de 13 entradas en domicilios, repartidos entre las provincias de Barcelona (11) y Tarragona (2), sin que hayan trascendido más detalles hasta ahora sobre los estos registros.;Sucesos
Descienden un 11,4% los robos con fuerza en domicilios de Catalunya en el primer trimestre;https://www.lavanguardia.com/sucesos/20240518/9655595/descienden-robos-fuerza-domicilios-catalunya-primer-trimestre-ano.html;18/05/2024;El balance de criminalidad que trimestralmente publica el Ministerio del Interior que recoge la actividad delictiva druatne los tres primeros meses del año, en Catalunya ha aumentado un 5%, poco más de dos décimas por encima de los delitos en el resto de España. En la comunidad se han producido 126.685 delitos o lo que es lo mismo, 1.392 delitos cada día. Destaca un significativo descenso en los robos con fuerza en domicilios del 11,4%. Catalunya ha experimentado un significativo descenso en los delitos contra la propiedad privada. Se han denunciado 6.709 casos de robos en domicilios, establecimientos y otras instalaciones, lo que supone una reducción del 9,7% con respecto a los últimos meses del 2023. El mayor descenso se ha detectado en los robos con fuerza en domicilios, que han sido 562 menos.;Sucesos
Desarticulado un grupo que robaba en tragaperras de Catalunya, Valencia y Aragón;https://www.lavanguardia.com/sucesos/20240302/9532814/desarticulado-grupo-robaba-tragaperras-catalunya-valencia-aragon.html;02/03/2024;"Un operativo conjunto de los Mossos y la Guardia Civil ha desarticulado un grupo itinerante que se dedicaba a robar la recaudación de las máquinas tragaperras en bares de Catalunya, Aragón y Valencia con la detención de seis personas tras el registro en cuatro domicilios. Los detenidos, a los que se les encontró cuatro sacas con 30 kilos de monedas de un euro, están acusados de 31 robos en bares y establecimientos de localidades pequeñas, en los que forzaban la entrada para hacerse con la recaudación de las tragaperras, todo ""de manera rápida y especializada"", según un comunicado de los Mossos.";Sucesos
Detenidos por robar 41.000 euros en carne en Huesca para su reventa en Catalunya;https://www.lavanguardia.com/sucesos/20240524/9672844/detenidos-robar-41-000-euros-carne-huesca-reventa-catalunya.html;24/05/2024;La Guardia Civil de Binéfar (Huesca) ha detenido a dos trabajadores de una empresa cárnica de la comarca de la Litera (Huesca) por el hurto de carne de vacuno valorada en más de 40.000 euros que vendían después a particulares en Catalunya, hasta donde la transportaban en vehículos particulares sin ninguna medida sanitaria. Los presuntos autores, de 52 y 54 años y vecinos de Barbastro y Monzón, sustraían una vez a la semana carne de vacuno y la introducían en la furgoneta de reparto sin mantener la correspondiente cadena de frío, trasladándola hasta un punto de encuentro que concertaban. Posteriormente sin ningún tipo de medida sanitaria, la llevaban en sus vehículos particulares a distintas provincias catalanas para venderla a particulares.;Sucesos
Golpe internacional de la Policía Nacional al tráfico de marihuana en Catalunya y Andalucía;https://www.lavanguardia.com/sucesos/20240423/9601393/golpe-internacional-policia-nacional-trafico-marihuana-catalunya-andalucia.html;23/04/2024;La Policía Nacional está desarrollando este martes un importante operativo policial contra el tráfico de marihuana con intervenciones en varios puntos de Barcelona, Girona, Granada, Málaga y Marbella. La investigación, dirigida por un juzgado de instrucción de Barcelona, tiene ramificaciones en Finlandia, Suecia y Polonia, que ha trasladado a agentes de sus respectivas policías para participar en una investigación que coordina Europol. La investigación arrancó en L’Hospitalet de Llobregat y de hecho es un juzgado de esta localidad de Barcelona quien dirige la investigación en la que se están desmantelando importantes plantaciones de marihuana, según han confirmado aLa Vanguardiafuentes al corriente de la investigación.;Sucesos
Muere un hombre tras una pelea en plaza Catalunya de Barcelona;https://www.lavanguardia.com/sucesos/20231208/9435349/muere-hombre-pelea-plaza-catalunya.html;08/12/2023;Un hombre ha fallecido este jueves en un hospital de Barcelona después de ingresar en estado crítico el pasado martes tras una pelea que tuvo lugar en la plaza Catalunya de la capital catalana. La Guardia Urbana se desplazó al lugar de los hechos esa misma noche y pudo detener al presunto responsable. Tras la pelea, la víctima quedó herida de gravedad y fue trasladada a un centro hospitalario, donde finalmente ha fallecido.;Sucesos
Liberadas 14 mujeres víctimas de explotación sexual y laboral en seis inmuebles de Catalunya;https://www.lavanguardia.com/sucesos/20240317/9566501/liberadas-14-personas-victimas-explotacion-sexual-laboral-seis-inmuebles-catalunya.html;17/03/2024;Agentes de Mossos d'Esquadra del Área Central de Crimen Organizado de la DIC, conjuntamente con agentes de la Policía Nacional, detuvieron el pasado 14 de febrero, a ocho personas, de entre 20 y 48 años , a quienes se les atribuyen delitos de tráfico de seres humanos relativos a la explotación sexual y contra los derechos de los trabajadores, delitos contra el derecho de los ciudadanos extranjeros y pertenencia a grupo criminal. El día 14 de febrero, en un operativo policial, los investigadores detuvieron a los 8 investigados y llevaron a cabo 7 entradas y pesquisas en las localidades de Barcelona, Calafell, Salou y Cabrils, donde clausuraron los 6 domicilios donde se explotaba sexualmente a las víctimas. En los domicilios investigados se intervinieron varias cantidades de sustancias estupefacientes, 20.000 euros, además de joyas y documentación diversa.;Sucesos
