Título;Enlace;Fecha;Primeros_Párrafos;Topic
Detingut per matar una dona i conviure amb el seu cadàver mig any a Barcelona;https://www.ara.cat/societat/successos/detingut-home-troballa-d-cadaver-descomposicio-pis-ciutat-meridiana_1_5391833.html;26/05/2025;BarcelonaEls Mossos d'Esquadra han detingut un home de 55 anys per la troballa d'un cadàver d'una dona al seu pis de Ciutat Meridiana, al districte de Nou Barris de Barcelona. Segons fonts consultades per l'ARA, la policia va trobar aquest diumenge a la tarda el cos de la dona embolicat entre plàstics en una habitació del domicili. Els veïns s'havien queixat de fortes pudors i, segons les primeres aproximacions, feia mig any que era morta. El cadàver estava en un avançat estat de descomposició, una situació que està complicant les tasques d'identificació. La principal hipòtesi policial és que es tracta de la parella del detingut, ja que les característiques físiques del cos quadren amb aquesta teoria, segons ha pogut saber l'ARA. Després de practicar-li l'autòpsia, els forenses han determinat que es tracta d'una mort criminal i els Mossos d'Esquadra ja ho investiguen com un homicidi. Si s'acaba confirmant aquest extrem, es tractaria del tercer feminicidi del 2025.;Successos
Mor una dona de 54 anys en un incendi al districte de Sant Andreu de Barcelona;https://www.ara.cat/societat/successos/mor-dona-54-anys-incendi-districte-sant-andreu-barcelona_1_5388871.html;23/05/2025;"BarcelonaUna dona de 54 anys ha mort aquest matí en un incendi al seu habitatge al districte de Sant Andreu de Barcelona, segons ha informat l'Ajuntamenten una nota de premsa. Els Bombers de Barcelona han rebut l'avís a les 7.07 hores i han desplaçat cinc dotacions fins al lloc del foc, al número 4 del carrer Torrent de Perera. ""Tot i les maniobres de reanimació, no hem pogut salvar la vida d'una persona que hi residia"", ha informat des del cos.";Successos
Busquen a la Costa Brava un jove britànic desaparegut fa tres setmanes al Regne Unit;https://www.ara.cat/societat/successos/busquen-costa-brava-jove-britanic-desaparegut-tres-setmanes-regne-unit_1_5388130.html;22/05/2025;BarcelonaEls Mossos d'Esquadra i els Bombers de la Generalitat estan buscant a la zona de Tossa de Mar, a la Selva, un jove britànic de 24 anys que va desaparèixer al Regne Unit el 30 d'abril, ara fa 22 dies. Segons fonts policials, la policia catalana va rebre una sol·licitud de la Interpol en què s'informava que aquest jove es podria trobar a la Costa Brava, concretament entre Tossa de Mar i Sant Feliu de Guíxols. Van ser els seus pares qui van detectar que el seu mòbil l'ubicava en aquesta àrea. La recerca va començar aquest dimecres al vespre, i hi van participar diverses unitats dels Bombers i els Mossos d'Esquadra, a més dels gossos de les unitats canines. El rastreig va permetre localitzar una furgoneta de matrícula anglesa que estava a nom del desaparegut. Es tracta d'un vehicle d'una empresa amb seu a Doncaster, al nord d'Anglaterra. La furgoneta estava ben estacionada, tancada i amb signes d'estar abandonada en un mirador de Tossa de Mar. Tot i això, no van trobar cap rastre del jove.;Successos
Maten a trets un expolític ucraïnès, Andrí Portnov, a prop d'una escola a Madrid;https://www.ara.cat/internacional/maten-trets-expolitic-ucraines-prop-d-escola-madrid_1_5386459.html;21/05/2025;BarcelonaL'advocat i expolític ucraïnès Andrí Portnov, de 52 anys, ha mort tirotejat aquest dimecres a les portes del col·legi americà de Pozuelo de Alarcón, on havia anat a portar els seus fills. La identitat de Portnov, que va ser assessor del president d'Ucraïna Víktor Ianukóvitx, ha estat confirmada per fonts del ministeri de l'Interior espanyol. Les primeres informacions apuntaven que el crim podria estar relacionat amb una venjança. El cos sense vida de la víctima ha estat localitzat cap a un quart de deu del matí al costat del seu cotxe, un vehicle negre d'alta gamma aparcat als voltants del centre educatiu, segons informa l'agència Efe. Fonts oficials confirmen que l'home es disposava a entrar al cotxe quan diverses persones l'han tirotejat per l'esquena i al cap i posteriorment han fugit del lloc cap a una zona boscosa.;Successos
Un accident de trànsit a Lloret acaba a cops de pala i destral;https://www.ara.cat/societat/successos/accident-transit-lloret-acaba-cops-pala-destral_1_5384502.html;19/05/2025;BarcelonaUn accident de trànsit que acaba a cops de pala i destral. Això és el que va passar dissabte al passeig marítim de Lloret de Mar, a la comarca de la Selva. Quan encara era de dia, a dos quarts de vuit del vespre, dos vehicles van xocar. Tot i que encara no queda clar, perquè la investigació està oberta, segons fonts consultades per l'ARA tot apunta que el xoc no hauria sigut fortuït. Va ser un xoc lateral i un cotxe va rascar l'altre. Sigui com sigui, en un vehicle hi havia tres ocupants i en l'altre, quatre. Eren persones que es coneixien i que, segons les primeres hipòtesis, tindrien algun assumpte pendent. Després del xoc, els ocupants dels dos vehicles es van enganxar en una discussió que es va complicar quan d'un dels cotxes (el que duia tres ocupants) van treure una pala i una destral. Poc després van agredir al cap d'un dels ocupants de l'altre vehicle, que no era el conductor. L'home va resultar ferit, tot i que no perilla la seva vida.;Successos
Mor una dona catalana en un accident d'autobús a La Gomera;https://www.ara.cat/societat/successos/mor-dona-catalana-accident-d-autobus-gomera_1_5378108.html;13/05/2025;BarcelonaUna dona catalana de 73 anys ha mort i deu persones més han quedat ferides aquest matí en un accident d'autobús a La Gomera, segons informen les autoritats canàries. El vehicle, unaguaguade transport públic, ha sortit de la via i ha bolcat poc després de les nou del matí, quan cobria el trajecte entre la capital de l'illa i Alajeró, el municipi on estava empadronava la víctima i hi passava temporades. Els ferits, de diversa consideració, han estat traslladats en ambulància a l'Hospital Virgen de Guadalupe. El marit de la dona que ha perdut la vida també viatjava a l'autobús, però ha resultat il·lès. Tot i això, ha rebut atenció psicològica al lloc dels fets, segons ha explicat el president del Cabildo de La Gomera, Casimiro Curbelo.;Successos
Una PlayStation resol el crim de l'empresari de la ferralla de Martorell;https://www.ara.cat/societat/successos/playstation-resol-crim-l-empresari-ferralla-martorell_1_5372040.html;09/05/2025;BarcelonaEls veïns feia estona que veien el cotxe de Magí O.F., conegut empresari de setanta anys dedicat al món de la ferralla, mal aparcat a l'entrada de la seva torre, al Camí Fondo de Martorell. Finalment, van decidir avisar la seva filla, que no viu gaire lluny. Quan va entrar a la casa, va descobrir el cos del seu pare, lligat i emmordassat, a l'aparcament. Era mort. La casa estava regirada, com si algú hagués entrat a robar, i ràpidament es va omplir d'agents dels Mossos d'Esquadra, que des del principi van investigar la seva mort com un crim. Era el 21 de novembre de 2024 i la principal hipòtesi policial va ser que Magi O.F. havia patit un robatori amb el pitjor dels finals,una informació avançada per aquest diari. Aquesta hipòtesi es va mantenir amb els mesos, i el febrer del 2025 els Mossosvan fer públic que havien detingut quatre homes, d'entre 27 i 29 anys, com a presumptes autors de la mort de Magí O.F. Segons ha pogut saber l'ARA, hi va haver un element clau que va conduir la investigació dels especialistes d'homicidis dels Mossos fins a aquests quatre homes: una PlayStation.;Successos
Dos detinguts per l'assassinat a trets en un bar del Poble-sec el desembre del 2023;https://www.ara.cat/societat/successos/detinguts-l-assassinat-trets-bar-poble-sec-desembre-2023_1_5371375.html;07/05/2025;BarcelonaEls Mossos d'Esquadra han detingut dos homes per la seva presumpta relació amb l'assassinat a trets d'un altre homepassada la mitjanit del 24 de desembre del 2023. Els dos arrestats presumptament serien sicaris que van ser contractats en el marc d'una guerra de narcotraficants dominicans, tal com ha avançatEl Periódicoi ha pogut confirmar l'ARA. Concretament, cap a la una de la matinada un home va entrar en un bar del Poble-sec i va obrir foc contra un altre home. El conductor d'una moto l'estava esperant i van fugir. El mètode (una execució) i els implicats (suposadament vinculats al tràfic de drogues de bandes dominicanes) van portar ràpidament els Mossos a pensar en una venjança per drogues. Les càmeres de seguretat han sigut claus per a la investigació, ja que fins i tot una càmera del bar va gravar nítidament l'execució.;Successos
Els venedors d'objectes robats que sobreviuen als operatius policials;https://www.ara.cat/societat/successos/venedors-d-objectes-robats-sobreviuen-als-operatius-policials_1_5370456.html;06/05/2025;BarcelonaAra fa dos anys, l'abril del 2023, els Mossos d'Esquadra van aturar una furgoneta en un control ordinari emmarcat en la lluita contra la multireincidència al districte d'Horta-Guinardó de Barcelona. A dins del vehicle hi havia diversos objectes, alguns de valor, i el conductor, dubitatiu, no va poder precisar d'on provenien. Aquesta simple coincidència va portar la policia fins a un dels grups de receptació d'objectes robats (i que després revenen) més actius de la ciutat. La receptació, segons fonts policials,és una figura clau per entendre la multireincidència: si els lladres no tenen a qui col·locar els objectes sostrets, difícilment seguiran robant. Per això, els cossos policials hi estan posant el focus, tot i que, com sovint passa en el món de la multireincidència, detenir-los no és sempre suficient perquè parin de delinquir. La història que va començar el 2023 va continuar fins al febrer del 2024. Llavors, després d'un any d'investigació, els Mossos i la Policia Nacional van explotar el cas: van detenir nou persones que havien aconseguit crear un entramat sofisticat i eficient. Havien guanyat més de quatre milions d'euros revenent mòbils, joies i tota mena d'objectes, sobretot al Marroc. Enviaven el material sostret per paqueteria, o fins i tot el portaven ells mateixos fins al nord d'Àfrica. Amb els guanys obtinguts, es van comprar un pis de 150.000 euros.;Successos
Catalunya busca més de 10.000 experts en ciberseguretat per frenar els hackers;https://www.ara.cat/societat/catalunya-busca-mes-10-000-experts-ciberseguretat-frenar-hackers_1_5369015.html;05/05/2025;"BarcelonaActualment, a Catalunya hi ha uns 27.000 professionals que es dediquenal món de la ciberseguretat. Es tracta d'un sector a l'alça, que l'any passat va facturar fins a 1.473 milions d'euros, gairebé un 20% més que el 2023. Des de l'Agència de Ciberseguretat de Catalunya, però, adverteixen d'una bretxa de talent que frena aquest creixement: hi ha 13.500 llocs de treball qualificats i ben pagats que estan desocupats. A tot Espanya n'hi ha gairebé 400.000 i 4,76 milions a tot el món. En un any, aquesta bretxa ha augmentat un 12% a Catalunya. Durant la presentació de l'estudiLa ciberseguretat a Catalunya, elaborat per Acció i l'Agència de Ciberseguretat de Catalunya, la directora de l'Agència, Laura Caballero, ha destacat que ""és important fer créixer el sector"". Malgrat estar ""lluny"" del lideratge mundial, Caballero ha remarcat que el progrés del sector a Catalunya ha estat ""notable"" els últims anys i ha insistit en la necessitat de destinar-hi esforços.";Ciberseguretat
