,mes,nom_mes,any,regio_policial,area_basica_policial,titol_codi_penal,tipus_de_fet,coneguts,resolts,detencions,id
0,9,setembre,2024,Central,Osona,De les falsedats,De la usurpació de l'estat civil,3,4,0,130
1,9,setembre,2024,Central,Osona,De les falsedats,Falsedats documentals,4,3,0,209
2,9,setembre,2024,Central,Osona,De les falsedats,Falsificació de moneda i efectes timbrats,1,0,0,641
3,9,setembre,2024,Central,Osona,De les lesions,Lesions,23,23,7,719
4,4,abril,2025,Regió Virtual,Virtual,De les falsedats,De la usurpació de l'estat civil,452,9,0,757
5,4,abril,2025,Regió Virtual,Virtual,De les falsedats,Falsedats documentals,8,2,0,1145
6,4,abril,2025,Regió Virtual,Virtual,De les falsedats,Usurpació de funcions públiques i intrusisme,4,1,0,2335
7,4,abril,2025,Regió Virtual,Virtual,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,3,0,0,2565
8,4,abril,2025,Regió Virtual,Virtual,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,6237,430,0,2761
9,4,abril,2025,Regió Virtual,Virtual,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Extorsió,12,3,0,3065
10,9,setembre,2024,Central,Osona,De les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,19,18,9,3221
11,5,maig,2025,Central,Anoia,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,3,1,2,3576
12,5,maig,2025,Central,Solsonès,Delictes contra la seguretat viària,Conducció temerària,2,2,0,3938
13,5,maig,2025,Central,Solsonès,Delictes contra la seguretat viària,Conduir sense permís,2,2,0,5301
14,5,maig,2025,Central,Solsonès,Delictes contra la seguretat viària,Conduir sota els efectes d'alcohol i drogues,1,1,0,5817
15,5,maig,2025,Central,Solsonès,Delictes contra la seguretat viària,Negativa a sotmetre's a les proves,1,1,0,6407
16,5,maig,2025,Central,Solsonès,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,0,1,1,6720
17,5,maig,2025,Central,Berguedà,De les lesions,Lesions,2,3,1,7307
18,5,maig,2025,Terres de l'Ebre,Baix Ebre,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,13,2,1,7711
19,5,maig,2025,Terres de l'Ebre,Baix Ebre,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,7,0,1,9161
20,5,maig,2025,Terres de l'Ebre,Baix Ebre,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,25,5,1,11741
21,5,maig,2025,Terres de l'Ebre,Montsià,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,1,1,1,12512
22,5,maig,2025,Terres de l'Ebre,Montsià,De les lesions,Lesions,8,7,1,12671
23,5,maig,2025,Terres de l'Ebre,Montsià,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,3,0,0,15956
24,5,maig,2025,Girona,Alt Empordà - Roses,Delictes contra la llibertat,Detenció il·legal,0,1,0,17465
25,5,maig,2025,Girona,Alt Empordà - Roses,Delictes contra la seguretat viària,Conduir sense permís,2,2,0,17812
26,5,maig,2025,Girona,Baix Empordà - La Bisbal,Delictes contra la seguretat viària,Conduir sense permís,3,2,0,19100
27,5,maig,2025,Girona,Baix Empordà - Sant Feliu,Delictes contra la seguretat viària,Conduir sense permís,2,2,1,19407
28,5,maig,2025,Girona,Baix Empordà - Sant Feliu,De les falsedats,De la usurpació de l'estat civil,1,1,0,19561
29,5,maig,2025,Girona,Baix Empordà - Sant Feliu,De les lesions,Lesions,7,8,2,19640
30,9,setembre,2024,Central,Osona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Apropiació indeguda,6,3,0,19716
31,9,setembre,2024,Central,Osona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,75,7,1,19981
32,9,setembre,2024,Central,Osona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,150,12,4,20520
33,9,setembre,2024,Central,Osona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Extorsió,1,0,0,21725
34,9,setembre,2024,Central,Osona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,134,32,5,23217
35,9,setembre,2024,Central,Osona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Ocupació immobles,10,8,0,23567
36,5,maig,2025,Girona,Garrotxa,Delictes contra la seguretat viària,Conduir sota els efectes d'alcohol i drogues,4,4,0,24075
37,5,maig,2025,Girona,Garrotxa,Delictes contra les relacions familiars,Contra els drets i deures familiars,1,1,0,24241
38,5,maig,2025,Girona,Garrotxa,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,0,0,1,24398
39,5,maig,2025,Girona,Garrotxa,De les falsedats,Usurpació de funcions públiques i intrusisme,2,0,0,24522
40,5,maig,2025,Girona,Garrotxa,De les lesions,Lesions,5,4,1,25333
41,5,maig,2025,Metropolitana Sud,Garraf,Delictes contra la llibertat,Detenció il·legal,1,1,0,33361
42,5,maig,2025,Metropolitana Sud,Garraf,Delictes contra la seguretat viària,Negativa a sotmetre's a les proves,1,1,0,35007
43,5,maig,2025,Metropolitana Sud,Garraf,Delictes contra les relacions familiars,Contra els drets i deures familiars,1,1,0,35999
44,5,maig,2025,Metropolitana Sud,Garraf,De les falsedats,Falsedats documentals,1,1,0,36117
45,5,maig,2025,Metropolitana Sud,Garraf,De les lesions,Lesions,8,6,1,36349
46,5,maig,2025,Metropolitana Sud,l'Hospitalet de Llobregat,Delictes contra la llibertat,Coaccions,10,8,2,36971
47,5,maig,2025,Metropolitana Sud,l'Hospitalet de Llobregat,Delictes contra la llibertat,Detenció il·legal,3,3,3,37759
48,5,maig,2025,Metropolitana Sud,Sant Boi de Llobregat,De les falsedats,Falsedats documentals,1,1,0,39431
49,5,maig,2025,Metropolitana Sud,Sant Boi de Llobregat,De les lesions,Lesions,1,1,1,39470
50,5,maig,2025,Metropolitana Sud,Cornellà de Llobregat,De les falsedats,Falsedats documentals,0,1,0,40733
51,5,maig,2025,Metropolitana Sud,Cornellà de Llobregat,De les falsedats,Falsificació de moneda i efectes timbrats,4,3,0,41593
52,5,maig,2025,Metropolitana Nord,Arenys de Mar,Delictes contra la seguretat viària,Conduir sense permís,12,12,0,42758
53,5,maig,2025,Metropolitana Nord,Granollers,Delictes contra la seguretat viària,Conduir sense permís,2,2,0,45098
54,5,maig,2025,Metropolitana Nord,Cerdanyola,Delictes contra la llibertat,Amenaces,9,9,3,45836
55,5,maig,2025,Metropolitana Nord,Cerdanyola,Delictes contra la llibertat,Coaccions,2,2,0,45914
56,5,maig,2025,Metropolitana Nord,Sabadell,Delictes contra l'Administració de justícia,Trencament de condemna,21,19,8,46145
57,5,maig,2025,Alt Pirineu i Aran,Vall d'Aran - Alta Ribagorça,De les lesions,Lesions,5,6,2,46223
58,5,maig,2025,Ponent,Segrià,Delictes contra la seguretat viària,Conduir sota els efectes d'alcohol i drogues,7,8,0,46547
59,5,maig,2025,Ponent,Segrià,Delictes contra la seguretat viària,Negativa a sotmetre's a les proves,1,1,0,47015
60,5,maig,2025,Ponent,Segrià,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,1,1,0,47132
61,5,maig,2025,Ponent,Segarra - Urgell,De l’homicidi i les seves formes,Homicidi Temptativa,1,1,1,47322
62,5,maig,2025,Ponent,Segarra - Urgell,De les falsedats,Falsedats documentals,0,1,0,47477
63,5,maig,2025,Ponent,Segarra - Urgell,De les lesions,Lesions,11,10,4,47673
64,5,maig,2025,Ponent,Segarra - Urgell,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,21,4,1,48022
65,5,maig,2025,Ponent,Segarra - Urgell,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,7,2,0,48699
66,5,maig,2025,Ponent,Segarra - Urgell,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,20,3,4,49009
67,5,maig,2025,Ponent,Noguera,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Ocupació immobles,2,1,0,49048
68,5,maig,2025,Ponent,Noguera,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força,3,1,3,49630
69,5,maig,2025,Ponent,Pla d'Urgell - Garrigues,Delictes contra la seguretat viària,Conduir sense permís,1,1,0,50967
70,5,maig,2025,Camp de Tarragona,Baix Camp - Priorat,Delictes contra la seguretat viària,Conducció temerària,1,1,0,51278
71,5,maig,2025,Camp de Tarragona,Baix Camp - Priorat,Delictes contra la seguretat viària,Conduir sense permís,13,13,0,51707
72,6,juny,2025,Central,Osona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,49,20,0,51915
73,6,juny,2025,Central,Osona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força,17,7,7,51955
74,6,juny,2025,Central,Anoia,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,2,0,0,52075
75,6,juny,2025,Central,Anoia,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,6,1,0,52784
76,6,juny,2025,Central,Anoia,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Ocupació immobles,1,1,0,52822
77,6,juny,2025,Central,Anoia,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força,1,0,0,53173
78,6,juny,2025,Central,Anoia,Delictes contra l'ordre públic,Altres delictes contra l'ordre públic,1,1,0,53895
79,6,juny,2025,Central,Anoia,Delictes contra la llibertat,Amenaces,2,1,0,54136
80,6,juny,2025,Central,Anoia,Delictes contra la seguretat viària,Negativa a sotmetre's a les proves,1,1,0,54563
81,6,juny,2025,Central,Anoia,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,1,0,1,54641
82,6,juny,2025,Central,Anoia,Dels delictes contra la seguretat col·lectiva,Risc catastròfic,0,1,0,54990
83,6,juny,2025,Central,Anoia,De l’homicidi i les seves formes,Homicidi per imprudència,1,1,1,55866
84,6,juny,2025,Central,Anoia,De les lesions,Lesions,5,7,1,56218
85,6,juny,2025,Terres de l'Ebre,Montsià,Delictes contra la seguretat viària,Negativa a sotmetre's a les proves,4,4,0,57302
86,6,juny,2025,Girona,Garrotxa,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,2,2,2,57978
87,6,juny,2025,Girona,Garrotxa,De les falsedats,Usurpació de funcions públiques i intrusisme,1,0,0,58209
88,6,juny,2025,Girona,Garrotxa,De les lesions,Lesions,4,5,2,58404
89,6,juny,2025,Girona,Selva Litoral,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,31,7,1,58716
90,6,juny,2025,Girona,Selva Litoral,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,19,1,1,59029
91,6,juny,2025,Girona,Selva Litoral,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,84,17,2,59468
92,6,juny,2025,Metropolitana Nord,Arenys de Mar,De les falsedats,Falsificació de moneda i efectes timbrats,1,0,0,59967
93,6,juny,2025,Metropolitana Nord,Arenys de Mar,De les lesions,Lesions,10,6,2,60007
94,6,juny,2025,Metropolitana Nord,Granollers,Delictes contra la llibertat,Detenció il·legal,0,0,1,60085
95,6,juny,2025,Metropolitana Nord,Granollers,Delictes contra la seguretat viària,Conducció temerària,2,0,0,60124
96,6,juny,2025,Metropolitana Nord,Granollers,Delictes contra la seguretat viària,Conduir sense permís,5,4,1,60739
97,6,juny,2025,Metropolitana Nord,Badalona,De l’homicidi i les seves formes,Homicidi Temptativa,2,1,2,61452
98,6,juny,2025,Metropolitana Nord,Badalona,De l’homicidi i les seves formes,Homicidi per imprudència,0,1,0,63117
99,6,juny,2025,Metropolitana Nord,Badalona,De les falsedats,De la usurpació de l'estat civil,2,0,0,63959
100,6,juny,2025,Metropolitana Nord,Badalona,De les falsedats,Falsedats documentals,9,9,3,65170
101,6,juny,2025,Metropolitana Nord,Badalona,De les falsedats,Falsificació de moneda i efectes timbrats,1,0,0,65550
102,6,juny,2025,Metropolitana Nord,Badalona,De les lesions,Lesions,83,78,31,65741
103,6,juny,2025,Metropolitana Nord,Cerdanyola,Delictes contra la llibertat,Coaccions,2,2,0,65779
104,6,juny,2025,Metropolitana Nord,Cerdanyola,Delictes contra la seguretat viària,Conduir sense permís,5,5,0,66240
105,6,juny,2025,Metropolitana Nord,Rubí,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,6,3,0,67454
106,6,juny,2025,Metropolitana Nord,Rubí,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,44,1,0,68909
107,6,juny,2025,Metropolitana Nord,Rubí,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,2,4,4,69177
108,6,juny,2025,Metropolitana Nord,Rubí,Dels delictes contra la seguretat col·lectiva,Incendi,1,1,0,69561
109,6,juny,2025,Metropolitana Nord,Rubí,De les falsedats,De la usurpació de l'estat civil,5,0,0,69798
110,6,juny,2025,Metropolitana Nord,Rubí,De les falsedats,Falsedats documentals,5,3,0,70030
111,6,juny,2025,Metropolitana Nord,Rubí,De les falsedats,Falsificació de moneda i efectes timbrats,2,2,0,70520
112,6,juny,2025,Metropolitana Nord,Rubí,De les lesions,Lesions,16,9,2,70559
113,6,juny,2025,Ponent,Segrià,De les falsedats,Falsificació de moneda i efectes timbrats,2,2,0,72083
114,6,juny,2025,Ponent,Segrià,De les lesions,Lesions,66,60,20,72668
115,6,juny,2025,Ponent,Pla d'Urgell - Garrigues,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,5,1,0,72981
116,6,juny,2025,Camp de Tarragona,Baix Camp - Priorat,Delictes contra la llibertat,Coaccions,2,1,0,73135
117,6,juny,2025,Camp de Tarragona,Baix Camp - Priorat,Delictes contra la llibertat,Detenció il·legal,1,1,1,73607
118,6,juny,2025,Camp de Tarragona,Tarragonès,Delictes contra la llibertat,Coaccions,2,1,1,75225
119,9,setembre,2024,Central,Osona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Receptació i altres conductes afins,2,2,0,84116
120,9,setembre,2024,Central,Osona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força,58,18,14,84232
121,9,setembre,2024,Central,Osona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força interior vehicle,33,1,1,86043
122,9,setembre,2024,Central,Osona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb violència i/o intimidació,15,8,8,87436
123,9,setembre,2024,Central,Osona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori i furt d'us de vehicle,8,4,1,87893
124,9,setembre,2024,Central,Osona,Delictes contra l'Administració de justícia,Obstrucció a la justícia i deslleialtat professional,1,0,0,89379
125,9,setembre,2024,Central,Osona,Delictes contra l'Administració de justícia,Trencament de condemna,2,1,0,90596
126,9,setembre,2024,Central,Osona,Delictes contra l'ordre públic,Altres delictes contra l'ordre públic,4,3,2,90831
127,9,setembre,2024,Girona,Gironès - Pla de l'Estany,Delictes contra l'ordre públic,Altres delictes contra l'ordre públic,25,23,21,92195
128,9,setembre,2024,Girona,Gironès - Pla de l'Estany,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,2,2,0,92663
129,9,setembre,2024,Girona,Baix Empordà - La Bisbal,De les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,2,2,0,96692
130,9,setembre,2024,Girona,Baix Empordà - La Bisbal,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Apropiació indeguda,2,3,0,97797
131,9,setembre,2024,Girona,Baix Empordà - La Bisbal,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,52,7,1,98425
132,9,setembre,2024,Girona,Baix Empordà - La Bisbal,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,88,11,1,100446
133,9,setembre,2024,Girona,Baix Empordà - La Bisbal,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Extorsió,3,0,0,101850
134,9,setembre,2024,Girona,Baix Empordà - La Bisbal,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,117,17,4,105356
135,9,setembre,2024,Girona,Baix Empordà - La Bisbal,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Ocupació immobles,14,12,0,108548
136,9,setembre,2024,Girona,Baix Empordà - La Bisbal,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força,60,7,2,109804
137,9,setembre,2024,Girona,Baix Empordà - Sant Feliu,Delictes contra la llibertat i la indemnitat sexuals,Agressions sexuals i Abusos sexuals,1,0,0,121555
138,9,setembre,2024,Girona,Baix Empordà - Sant Feliu,Delictes contra la seguretat viària,Conduir sense permís,22,21,1,121863
139,9,setembre,2024,Girona,Baix Empordà - Sant Feliu,Delictes contra la seguretat viària,Conduir sota els efectes d'alcohol i drogues,16,14,1,122648
140,9,setembre,2024,Girona,Baix Empordà - Sant Feliu,Delictes contra la seguretat viària,Negativa a sotmetre's a les proves,4,2,0,122686
141,9,setembre,2024,Girona,Baix Empordà - Sant Feliu,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,1,1,2,123961
142,9,setembre,2024,Girona,Garrotxa,De les lesions,Lesions,13,7,5,124038
143,9,setembre,2024,Girona,Garrotxa,De les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,2,3,0,124461
144,9,setembre,2024,Girona,Garrotxa,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,26,5,1,124690
145,9,setembre,2024,Girona,Garrotxa,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,50,9,0,124728
146,9,setembre,2024,Girona,Garrotxa,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,66,14,1,124803
147,9,setembre,2024,Girona,Garrotxa,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Ocupació immobles,2,3,0,130552
148,9,setembre,2024,Girona,Garrotxa,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força,25,4,4,139158
149,9,setembre,2024,Girona,Garrotxa,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força interior vehicle,11,0,1,143673
150,9,setembre,2024,Girona,Garrotxa,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb violència i/o intimidació,9,3,1,145340
151,9,setembre,2024,Girona,Garrotxa,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori i furt d'us de vehicle,5,0,0,150095
152,9,setembre,2024,Girona,Garrotxa,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Usurpació,2,2,0,150135
153,9,setembre,2024,Girona,Garrotxa,Delictes contra els animals,Contra els animals,1,0,0,150330
154,9,setembre,2024,Girona,Garrotxa,Delictes contra l'Administració de justícia,Trencament de condemna,2,3,1,150821
155,9,setembre,2024,Girona,Garrotxa,Delictes contra l'ordre públic,Altres delictes contra l'ordre públic,3,3,3,150896
156,9,setembre,2024,Girona,Selva Litoral,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,2,2,0,152867
157,9,setembre,2024,Metropolitana Barcelona,Sant Martí,De les falsedats,Usurpació de funcions públiques i intrusisme,1,0,0,154718
158,9,setembre,2024,Metropolitana Barcelona,Sant Martí,De les lesions,Lesions,94,76,27,154870
159,9,setembre,2024,Metropolitana Barcelona,Sant Martí,De les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,1,1,0,155657
160,9,setembre,2024,Metropolitana Barcelona,Sant Martí,Del tràfic d’éssers humans,Tràfic d'éssers humans,1,0,0,155814
161,9,setembre,2024,Metropolitana Barcelona,Sant Martí,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Apropiació indeguda,71,63,1,157704
162,12,desembre,2024,Central,Osona,De l’homicidi i les seves formes,Homicidi per imprudència,2,2,1,157742
163,12,desembre,2024,Central,Osona,De les falsedats,De la usurpació de l'estat civil,1,0,0,157896
164,12,desembre,2024,Central,Osona,De les falsedats,Falsedats documentals,1,3,0,157934
165,12,desembre,2024,Central,Osona,De les falsedats,Falsificació de moneda i efectes timbrats,2,2,0,158012
166,12,desembre,2024,Central,Osona,De les lesions,Lesions,34,26,2,158053
167,9,setembre,2024,Central,Bages,Delictes contra la seguretat viària,Negativa a sotmetre's a les proves,4,4,0,158679
168,9,setembre,2024,Central,Bages,Delictes contra les relacions familiars,Contra els drets i deures familiars,1,0,0,161793
169,9,setembre,2024,Central,Bages,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,9,7,7,163423
170,9,setembre,2024,Central,Solsonès,De les lesions,Lesions,2,1,0,163497
171,11,novembre,2024,Metropolitana Nord,Granollers,De les falsedats,Falsificació de moneda i efectes timbrats,3,2,0,163932
172,11,novembre,2024,Metropolitana Nord,Granollers,De les lesions,Lesions,63,58,12,164133
173,11,novembre,2024,Metropolitana Nord,Mollet del Vallès,De les falsedats,De la usurpació de l'estat civil,2,0,0,164398
174,11,novembre,2024,Metropolitana Nord,Mollet del Vallès,De les falsedats,Falsedats documentals,0,1,0,164436
175,11,novembre,2024,Metropolitana Nord,Cerdanyola,De les lesions,Lesions,53,50,14,164475
176,11,novembre,2024,Ponent,Segarra - Urgell,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,31,7,1,164630
177,11,novembre,2024,Ponent,Noguera,Delictes contra la seguretat viària,Conducció temerària,1,2,0,165019
178,9,setembre,2024,Central,Solsonès,De les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,2,1,0,165326
179,11,novembre,2024,Ponent,Noguera,Delictes contra la seguretat viària,Conduir sense permís,2,2,0,165364
180,11,novembre,2024,Ponent,Noguera,Delictes contra la seguretat viària,Conduir sota els efectes d'alcohol i drogues,5,4,0,165916
181,11,novembre,2024,Ponent,Noguera,Delictes contra la seguretat viària,Negativa a sotmetre's a les proves,1,1,0,166029
182,11,novembre,2024,Ponent,Noguera,Delictes contra la seguretat viària,Velocitat penalment punible,1,1,0,166292
183,11,novembre,2024,Ponent,Noguera,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,2,3,2,166404
184,11,novembre,2024,Ponent,Noguera,Dels delictes contra la seguretat col·lectiva,Incendi,1,0,0,167755
185,11,novembre,2024,Ponent,Pla d'Urgell - Garrigues,De les falsedats,De la usurpació de l'estat civil,3,0,0,167984
186,9,setembre,2024,Central,Solsonès,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Apropiació indeguda,0,2,0,168247
187,9,setembre,2024,Central,Solsonès,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,2,0,0,168285
188,9,setembre,2024,Central,Solsonès,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,12,1,0,168480
189,9,setembre,2024,Central,Solsonès,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,5,1,0,169102
190,11,novembre,2024,Ponent,Pla d'Urgell - Garrigues,De les falsedats,Falsedats documentals,1,0,0,169412
191,9,setembre,2024,Central,Solsonès,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força,4,0,0,169486
192,11,novembre,2024,Ponent,Pla d'Urgell - Garrigues,De les lesions,Lesions,13,14,5,169639
193,12,desembre,2024,Terres de l'Ebre,Baix Ebre,De les falsedats,Falsedats documentals,2,2,0,169679
194,12,desembre,2024,Terres de l'Ebre,Baix Ebre,De les lesions,Lesions,19,19,8,169828
195,12,desembre,2024,Girona,Gironès - Pla de l'Estany,De les falsedats,Falsedats documentals,6,5,1,169941
196,12,desembre,2024,Girona,Gironès - Pla de l'Estany,De les lesions,Lesions,77,61,18,170214
197,12,desembre,2024,Girona,Alt Empordà - Figueres,De les falsedats,De la usurpació de l'estat civil,1,1,0,170441
198,12,desembre,2024,Girona,Alt Empordà - Figueres,De les falsedats,Falsedats documentals,4,4,3,171220
199,12,desembre,2024,Girona,Alt Empordà - Figueres,De les falsedats,Usurpació de funcions públiques i intrusisme,4,1,0,171414
200,12,desembre,2024,Girona,Alt Empordà - Figueres,De les lesions,Lesions,44,37,14,171872
201,9,setembre,2024,Central,Solsonès,Delictes contra l'Administració de justícia,"Acusació, denúncia falsa i simulació de delictes",1,1,0,172026
202,9,setembre,2024,Central,Solsonès,Delictes contra l'Administració de justícia,Trencament de condemna,3,3,2,173080
203,12,desembre,2024,Girona,Baix Empordà - La Bisbal,Delictes contra l'Administració pública,Malversació,1,1,0,173271
204,12,desembre,2024,Girona,Garrotxa,De les falsedats,Falsificació de moneda i efectes timbrats,1,0,0,173428
205,12,desembre,2024,Girona,Garrotxa,De les lesions,Lesions,13,13,2,173621
206,12,desembre,2024,Girona,Selva Litoral,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,77,6,2,174865
207,12,desembre,2024,Girona,Selva Litoral,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,97,14,2,174980
208,12,desembre,2024,Girona,Selva Interior,Delictes contra la llibertat,Amenaces,15,12,3,175058
209,12,desembre,2024,Girona,Selva Interior,Delictes contra la llibertat,Coaccions,2,2,0,175446
210,12,desembre,2024,Metropolitana Barcelona,Sant Martí,Delictes contra la seguretat viària,Conducció temerària,3,3,0,176079
211,12,desembre,2024,Metropolitana Barcelona,Sant Martí,Delictes contra la seguretat viària,Conduir sense permís,26,23,0,176614
212,12,desembre,2024,Metropolitana Barcelona,Barcelona,Delictes contra la llibertat,Amenaces,2,2,0,177006
213,12,desembre,2024,Metropolitana Barcelona,Barcelona,Delictes contra la seguretat viària,Abandonament lloc accident,1,0,0,177274
214,12,desembre,2024,Metropolitana Barcelona,Barcelona,Delictes contra la seguretat viària,Conduir sense permís,2,2,0,177596
215,12,desembre,2024,Metropolitana Sud,Martorell,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,61,4,0,178368
216,12,desembre,2024,Metropolitana Sud,Garraf,Delictes contra la llibertat,Coaccions,9,7,0,178407
217,12,desembre,2024,Metropolitana Sud,Garraf,Delictes contra la llibertat,Detenció il·legal,1,1,1,178874
218,12,desembre,2024,Metropolitana Sud,l'Hospitalet de Llobregat,Delictes contra la llibertat,Coaccions,11,13,2,179278
219,12,desembre,2024,Metropolitana Sud,l'Hospitalet de Llobregat,Delictes contra la llibertat,Detenció il·legal,4,3,1,179516
220,12,desembre,2024,Metropolitana Nord,Cerdanyola,Delictes contra la seguretat viària,Conducció temerària,3,3,0,179745
221,12,desembre,2024,Metropolitana Nord,Cerdanyola,Delictes contra la seguretat viària,Conduir sense permís,24,24,0,181386
222,12,desembre,2024,Metropolitana Nord,Sabadell,De les falsedats,Falsedats documentals,3,3,1,181582
223,12,desembre,2024,Metropolitana Nord,Sabadell,De les falsedats,Falsificació de moneda i efectes timbrats,2,1,0,183635
224,12,desembre,2024,Metropolitana Nord,Sabadell,De les falsedats,Usurpació de funcions públiques i intrusisme,2,2,0,183791
225,12,desembre,2024,Metropolitana Nord,Sabadell,De les lesions,Lesions,76,69,20,183983
226,12,desembre,2024,Pirineu Occidental,Alt Urgell,Delictes contra la llibertat,Amenaces,4,4,0,186728
227,12,desembre,2024,Pirineu Occidental,Alt Urgell,Delictes contra la llibertat,Coaccions,2,1,0,187221
228,12,desembre,2024,Ponent,Segrià,Delictes contra la llibertat i la indemnitat sexuals,Resta delictes sexuals,2,0,0,187564
229,12,desembre,2024,Ponent,Segrià,Delictes contra la seguretat viària,Conducció temerària,1,2,1,188156
230,12,desembre,2024,Ponent,Segrià,Delictes contra la seguretat viària,Conduir sense permís,23,24,0,188232
231,12,desembre,2024,Ponent,Segrià,Delictes contra la seguretat viària,Conduir sota els efectes d'alcohol i drogues,30,29,0,188499
232,12,desembre,2024,Ponent,Segrià,Delictes contra la seguretat viària,Negativa a sotmetre's a les proves,6,6,1,189929
233,12,desembre,2024,Ponent,Segrià,Delictes contra la seguretat viària,Originar un greu risc per la circulació,2,1,0,191228
234,12,desembre,2024,Ponent,Segrià,Delictes contra les relacions familiars,Contra els drets i deures familiars,4,3,1,191578
235,12,desembre,2024,Ponent,Segrià,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,4,5,6,191919
